"ANALYTE_NAME"|"COUNT"
"N-NITROSO-N-METHYLETHYLAMINE"|65
"N-NITROSODI-N-BUTYLAMINE"|65
"N-NITROSODIETHYLAMINE"|65
"N-NITROSOMORPHOLINE"|65
"N-NITROSOPIPERIDINE"|65
"P-DIMETHYLAMINOAZOBENZENE"|65
"PENTACHLOROBENZENE"|65
"PENTACHLORONITROBENZENE"|65
"PYRIDINE"|65
"SAFROLE"|65
"RUTHENIUM-103"|64
"DISULFOTON"|63
"METHYL PARATHION"|63
"PHORATE"|63
"1,4-DIOXANE"|62
"ENDRIN ALDEHYDE"|61
"PARATHION"|60
"TOTAL CHLORDANE"|60
"M/P-CRESOL"|58
"N-NITROSODIPHENYLAMINE"|58
"DINOSEB"|55
"IODINE-131"|55
"CHLOROPRENE"|54
"ISOBUTANOL"|54
"1,3,5-TRINITROBENZENE"|52
"2-NAPHTHYLAMINE"|52
"3,3'-DIMETHYLBENZIDINE"|52
"5-NITRO-O-TOLUIDINE"|52
"A,A-DIMETHYLPHENETHYLAMINE"|52
"ARAMITE"|52
"DIALLATE"|52
"ETHYL METHANESULFONATE"|52
"HEXACHLOROPHENE"|52
"HEXACHLOROPROPENE"|52
"METHAPYRILENE"|52
"N-NITROSOPYRROLIDINE"|52
"O,O,O-TRIETHYL PHOSPHOROTHIOATE"|52
"P-PHENYLENEDIAMINE"|52
"PHENACETIN"|52
"PRONAMIDE"|52
"4-NITROQUINOLINE-1-OXIDE"|51
"DIMETHOATE"|50
"FAMPHUR"|50
"SULFOTEPP"|50
"2,3,7,8-TCDD"|49
"BISMUTH-212"|49
"THIONAZIN"|49
"DIPHENYLAMINE"|48
"ISODRIN"|48
"KEPONE"|48
"NIOBIUM-95"|47
"CERIUM-141"|41
"HEXACHLORODIBENZO-P-DIOXINS"|41
"HEXACHLORODIBENZO-P-FURANS"|41
"PENTACHLORODIBENZO-P-FURANS"|41
"TETRACHLORODIBENZO-P-DIOXIN"|41
"TETRACHLORODIBENZO-P-FURANS"|41
"NICKEL-63"|37
"BENZOIC ACID"|35
"CESIUM"|35
"TRIBUTYL PHOSPHATE"|35
"GAMMA-CHLORDANE"|33
"CHROMIUM-51"|31
"OCTACHLORODIBENZO-P-DIOXIN"|28
"OCTACHLORODIBENZO-P-FURAN"|28
"1,2,3,4,6,7,8-HPCDD"|27
"1,2,3,4,7,8-HXCDD"|27
"ALPHA-CHLORDANE"|26
"BARIUM-140"|26
"BERYLLIUM-7"|26
"HEPTACHLORODIBENZOFURAN"|26
"HEXACHLORORDIBENZOFURAN"|26
"IRON-59"|26
"NITRITES"|26
"PENTACHLORODIBENZOFURAN"|26
"IRON-55"|25
"NICKEL-59"|25
"CURIUM-246"|24
"P-CRESOL"|24
"TETRACHLORODIBENZOFURAN"|23
"O-XYLENE"|21
"ENDRIN KETONE"|20
"AMERICIUM-241/CURIUM-246"|19
"N-NITROSODIPHENYLAMINE+DIPHENYLAMINE"|18
"M-XYLENE"|17
"HEPTACHLORODIBENZO-P-DIOXINS"|15
"HEPTACHLORODIBENZO-P-FURANS"|15
"1,2-DIPHENYLHYDRAZINE"|14
"3,4-BENZO (6) FLUORANTHENE"|14
"DIOXIN"|14
"FURANS"|14
"1,4-DINITROBENZENE"|13
"2-DINITROPHENOL"|13
"3,3'-DIMETHOXYBENZIDINE"|13
"AZINPHOS METHYL"|13
"CHLORPYRIPHOS"|13
"DIAZINON"|13
"DICHLORVOS"|13
"ETHOPROP"|13
"FENTHION"|13
"MALATHION"|13
"MALONONITRILE"|13
"MERPHOS"|13
"O-PHENYLENEDIAMINE"|13
"RESORCINOL"|13
"RONNEL"|13
"STIRPHOS"|13
"SULPROFOS"|13
"THIOPHENOL"|13
"M-CRESOL"|10
"TOTAL ALKALINITY (AS CACO3)"|10
"PLUTONIUM-239"|9
"CURIUM-244"|7
"CARBONATE"|5
"1,2,3-TRICHLOROBENZENE"|4
"1,3-DICHLOROPROPANE"|4
"2,2-DICHLOROPROPANE"|4
"BROMOCHLOROMETHANE"|4
"CARBON 13-LABELED 2,3,7,8-TCDD"|4
"CARBON 13-LABELED 2,3,7,8-TCDF"|4
"M,P-XYLENE"|4
"1,1-DICHLOROPROPENE"|3
"AMMONIA"|3
"ETHYL ACETATE"|3
"OXALATE"|3
"CARBAZOLE"|2
"ETHANE"|2
"ETHYLENE"|2
"TOTAL SUSPENDED SOLIDS"|2
"1,1'-BIPHENYL"|1
"1,2,3,4,6,7,8-HPCDF"|1
"1,2,3,4,7,8-HXCDF"|1
"1,2,3,7,8-PCDF"|1
"1,3,5-TRIMETHYLBENZENE"|1
"2,3,7,8-TCDF"|1
"4-CHLOROTOLUENE"|1
"ATRAZINE"|1
"BENZALDEHYDE"|1
"BENZIDINE"|1
"BIS(CHLOROMETHYL)ETHER"|1
"BROMIDE"|1
"BROMOBENZENE"|1
"CAPROLACTAM"|1
"CYCLOHEXANONE"|1
"HEXANE"|1
"METHANE"|1
"N-BUTYLBENZENE"|1
"N-PROPYLBENZENE"|1
"ORTHOCHLOROTOLUENE"|1
"PARACYMEN"|1
"RADON-222"|1
"SEC-BUTYLBENZENE"|1
"TERT-BUTYLBENZENE"|1
"URANIUM-232"|1
