"ANALYTE_NAME"|"COUNT"
"HEPTACHLORODIBENZOFURAN"|26
"HEXACHLOROBENZENE"|83
"HEXACHLOROBUTADIENE"|84
"HEXACHLOROCYCLOPENTADIENE"|83
"HEXACHLORODIBENZO-P-DIOXINS"|41
"HEXACHLORODIBENZO-P-FURANS"|41
"HEXACHLOROETHANE"|83
"HEXACHLOROPHENE"|52
"HEXACHLOROPROPENE"|52
"HEXACHLORORDIBENZOFURAN"|26
"HEXANE"|1
"INDENO[1,2,3-CD]PYRENE"|83
"IODINE-129"|1295
"IODINE-131"|55
"IODOMETHANE (METHYL IODIDE)"|71
"IRON"|1638
"IRON-55"|25
"IRON-59"|26
"ISOBUTANOL"|54
"ISODRIN"|48
"ISOPHORONE"|83
"ISOSAFROLE"|65
"KEPONE"|48
"LEAD"|3346
"LEAD-212"|833
"LEAD-214"|217
"LINDANE"|359
"LITHIUM"|267
"M-CRESOL"|10
"M-NITROANILINE"|82
"M-XYLENE"|17
"M,P-XYLENE"|4
"M/P-CRESOL"|58
"MAGNESIUM"|1185
"MALATHION"|13
"MALONONITRILE"|13
"MANGANESE"|1269
"MANGANESE-54"|695
"MERCURY"|2003
"MERPHOS"|13
"METHACRYLONITRILE"|71
"METHANE"|1
"METHAPYRILENE"|52
"METHOXYCHLOR"|337
"METHYL ACETATE"|80
"METHYL ETHYL KETONE"|196
"METHYL ISOBUTYL KETONE"|194
"METHYL METHACRYLATE"|77
"METHYL METHANESULFONATE"|65
"METHYL PARATHION"|63
"METHYL TERTIARY BUTYL ETHER (MTBE)"|82
"METHYLCYCLOHEXANE"|80
"MOLYBDENUM"|181
"N-BUTYLBENZENE"|1
"N-DIOCTYL PHTHALATE"|87
"N-NITROSO-N-METHYLETHYLAMINE"|65
"N-NITROSODI-N-BUTYLAMINE"|65
"N-NITROSODIETHYLAMINE"|65
"N-NITROSODIMETHYLAMINE"|66
"N-NITROSODIPHENYLAMINE"|58
"N-NITROSODIPHENYLAMINE+DIPHENYLAMINE"|18
"N-NITROSODIPROPYLAMINE"|83
"N-NITROSOMORPHOLINE"|65
"N-NITROSOPIPERIDINE"|65
"N-NITROSOPYRROLIDINE"|52
"N-PROPYLBENZENE"|1
"NAPHTHALENE"|84
"NEPTUNIUM-237"|266
"NEPTUNIUM-239"|221
"NICKEL"|1958
"NICKEL-59"|25
"NICKEL-63"|45
"NIOBIUM-95"|47
"NITRATE"|606
"NITRATE-NITRITE AS NITROGEN"|2887
"NITRITES"|26
"NITROBENZENE"|83
"NONVOLATILE BETA"|3629
"O-CRESOL (2-METHYLPHENOL)"|82
"O-PHENYLENEDIAMINE"|13
"O-XYLENE"|21
"O,O,O-TRIETHYL PHOSPHOROTHIOATE"|52
"OCTACHLORODIBENZO-P-DIOXIN"|28
"OCTACHLORODIBENZO-P-FURAN"|28
"ORTHOCHLOROTOLUENE"|1
"OXALATE"|3
"P-CHLORO-M-CRESOL"|82
"P-CRESOL"|24
"P-DIMETHYLAMINOAZOBENZENE"|65
"P-NITROANILINE"|82
"P-PHENYLENEDIAMINE"|52
"PARACYMEN"|1
"PARATHION"|60
"PENTACHLOROBENZENE"|65
"PENTACHLORODIBENZO-P-DIOXINS"|67
"PENTACHLORODIBENZO-P-FURANS"|41
"PENTACHLORODIBENZOFURAN"|26
"PENTACHLOROETHANE"|67
"PENTACHLORONITROBENZENE"|65
"PENTACHLOROPHENOL"|82
"PH"|2591
"PHENACETIN"|52
"PHENANTHRENE"|83
"PHENOL"|113
"PHENOLS"|1673
"PHORATE"|63
"PLUTONIUM-238"|1245
"PLUTONIUM-239"|11
"PLUTONIUM-239/240"|1238
"PLUTONIUM-242"|95
"POTASSIUM"|1176
"POTASSIUM-40"|961
"PROMETHIUM-144"|647
"PROMETHIUM-146"|924
"PRONAMIDE"|52
"PROPIONITRILE"|71
"PYRENE"|83
"PYRIDINE"|65
"RADIUM-226"|1420
"RADIUM-228"|1378
"RADIUM, TOTAL ALPHA-EMITTING"|1249
"RADON-222"|1
"RESORCINOL"|13
"RONNEL"|13
"RUTHENIUM-103"|64
"RUTHENIUM-106"|720
"SAFROLE"|65
"SEC-BUTYLBENZENE"|1
"SELENIUM"|1992
"SILICA"|874
"SILICON"|77
"SILVER"|2024
"SODIUM"|1224
"SODIUM-22"|671
"SPECIFIC CONDUCTANCE"|2573
"STIRPHOS"|13
"STRONTIUM"|181
"STRONTIUM-89"|313
"STRONTIUM-89/90"|82
"STRONTIUM-90"|1225
"STYRENE"|194
"SULFATE"|982
"SULFIDE"|77
"SULFOTEPP"|50
"SULPROFOS"|13
"TECHNETIUM-99"|1246
"TERT-BUTYLBENZENE"|1
"TETRACHLORODIBENZO-P-DIOXIN"|41
"TETRACHLORODIBENZO-P-FURANS"|41
"TETRACHLORODIBENZOFURAN"|23
"TETRACHLOROETHYLENE (PCE)"|1590
"THALLIUM"|1845
"THALLIUM-208"|282
"THIONAZIN"|49
"THIOPHENOL"|13
"THORIUM"|99
"THORIUM-228"|1283
"THORIUM-230"|1241
"THORIUM-232"|1257
"THORIUM-234"|294
"TIN"|737
"TIN-113"|232
"TITANIUM"|181
"TOLUENE"|1247
"TOTAL ACTIVITY"|1482
"TOTAL ALKALINITY (AS CACO3)"|10
"TOTAL CHLORDANE"|60
"TOTAL DISSOLVED SOLIDS"|950
"TOTAL ORGANIC CARBON"|1025
"TOTAL ORGANIC HALOGENS"|1008
"TOTAL PHOSPHATES (AS  P)"|989
"TOTAL SUSPENDED SOLIDS"|2
"TOXAPHENE"|351
"TRANS-1,2-DICHLOROETHYLENE"|1194
"TRANS-1,3-DICHLOROPROPENE"|1232
"TRANS-1,4-DICHLORO-2-BUTENE"|71
"TRIBUTYL PHOSPHATE"|35
"TRICHLOROETHYLENE (TCE)"|1583
"TRICHLOROFLUOROMETHANE"|1502
"TRITIUM"|3619
"URANIUM"|468
"URANIUM-232"|1
"URANIUM-233/234"|1273
"URANIUM-234"|69
"URANIUM-235"|1369
"URANIUM-238"|1363
"VANADIUM"|1830
"VINYL ACETATE"|131
"XYLENES"|213
"YTTRIUM-88"|647
"ZINC"|1970
"ZINC-65"|695
"ZIRCONIUM-95"|305
