STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1013115,FSB121C,436176.21,3681346.43,202.70000000000002,1997-02-20,1997,S,256.60000000000002,53.899999999999999
1013115,FSB121C,436176.21,3681346.43,203.94000000000003,1996-03-18,1996,S,256.60000000000002,52.659999999999997
1013115,FSB121C,436176.21,3681346.43,203.45000000000002,1996-09-18,1996,S,256.60000000000002,53.149999999999999
1013115,FSB121C,436176.21,3681346.43,201.00000000000003,2000-01-10,2000,S,256.60000000000002,55.600000000000001
1013115,FSB121C,436176.21,3681346.43,204.84000000000003,1998-03-18,1998,S,256.60000000000002,51.759999999999998
1013115,FSB121C,436176.21,3681346.43,201.72000000000003,1997-12-15,1997,S,256.60000000000002,54.880000000000003
1013115,FSB121C,436176.21,3681346.43,201.97000000000003,1997-09-10,1997,S,256.60000000000002,54.630000000000003
1013115,FSB121C,436176.21,3681346.43,202.20000000000002,1997-07-08,1997,S,256.60000000000002,54.399999999999999
1013115,FSB121C,436176.21,3681346.43,203.70000000000002,1996-06-14,1996,S,256.60000000000002,52.899999999999999
1013115,FSB121C,436176.21,3681346.43,203.75000000000003,1996-05-14,1996,S,256.60000000000002,52.850000000000001
1013115,FSB121C,436176.21,3681346.43,198.79000000000002,2001-01-18,2001,S,256.60000000000002,57.810000000000002
1013115,FSB121C,436176.21,3681346.43,205.65000000000003,1998-10-22,1998,S,256.60000000000002,50.950000000000003
1013115,FSB121C,436176.21,3681346.43,207.05000000000001,1998-07-02,1998,S,256.60000000000002,49.549999999999997
1013115,FSB121C,436176.21,3681346.43,207.13000000000002,1998-06-29,1998,S,256.60000000000002,49.469999999999999
1013115,FSB121C,436176.21,3681346.43,198.92000000000002,2000-12-20,2000,S,256.60000000000002,57.68
1013115,FSB121C,436176.21,3681346.43,201.28000000000003,1999-09-14,1999,S,256.60000000000002,55.32
1013115,FSB121C,436176.21,3681346.43,203.08000000000001,1999-07-19,1999,S,256.60000000000002,53.520000000000003
1013115,FSB121C,436176.21,3681346.43,206.05000000000001,1998-09-21,1998,S,256.60000000000002,50.549999999999997
1013115,FSB121C,436176.21,3681346.43,201.23000000000002,1999-12-06,1999,S,256.60000000000002,55.369999999999997
1013115,FSB121C,436176.21,3681346.43,203.60000000000002,1996-07-01,1996,S,256.60000000000002,53
1013115,FSB121C,436176.21,3681346.43,202.65000000000003,1997-04-04,1997,S,256.60000000000002,53.950000000000003
1013115,FSB121C,436176.21,3681346.43,205.89000000000001,1998-04-13,1998,S,256.60000000000002,50.710000000000001
1013115,FSB121C,436176.21,3681346.43,199.66000000000003,2000-08-03,2000,S,256.60000000000002,56.939999999999998
1013115,FSB121C,436176.21,3681346.43,198.46000000000004,2001-06-23,2001,S,256.60000000000002,58.140000000000001
1013115,FSB121C,436176.21,3681346.43,200.06000000000003,2000-09-22,2000,S,256.60000000000002,56.539999999999999
1013115,FSB121C,436176.21,3681346.43,198.75000000000003,2001-04-25,2001,S,256.60000000000002,57.850000000000001
1013115,FSB121C,436176.21,3681346.43,204.11000000000001,1991-04-15,1991,S,256.60000000000002,52.490000000000002
1013115,FSB121C,436176.21,3681346.43,204.94000000000003,1992-07-19,1992,S,256.60000000000002,51.659999999999997
1013115,FSB121C,436176.21,3681346.43,204.23000000000002,1994-05-20,1994,S,256.60000000000002,52.369999999999997
1013115,FSB121C,436176.21,3681346.43,204.43000000000001,1994-03-22,1994,S,256.60000000000002,52.170000000000002
1013115,FSB121C,436176.21,3681346.43,203.60000000000002,1994-08-16,1994,S,256.60000000000002,53
1013115,FSB121C,436176.21,3681346.43,203.28000000000003,1994-09-29,1994,S,256.60000000000002,53.32
1013115,FSB121C,436176.21,3681346.43,204.77000000000004,1995-07-20,1995,S,256.60000000000002,51.829999999999998
1013115,FSB121C,436176.21,3681346.43,204.61000000000001,1995-10-04,1995,S,256.60000000000002,51.990000000000002
1013115,FSB121C,436176.21,3681346.43,206.36000000000001,1992-01-28,1992,S,256.60000000000002,50.240000000000002
1013115,FSB121C,436176.21,3681346.43,205.09000000000003,1993-12-22,1993,S,256.60000000000002,51.509999999999998
1013115,FSB121C,436176.21,3681346.43,204.67000000000002,1991-07-19,1991,S,256.60000000000002,51.93
1013115,FSB121C,436176.21,3681346.43,206.46000000000004,1993-08-21,1993,S,256.60000000000002,50.140000000000001
1013115,FSB121C,436176.21,3681346.43,203.08000000000001,1991-02-07,1991,S,256.60000000000002,53.520000000000003
1013115,FSB121C,436176.21,3681346.43,204.36000000000001,1995-11-14,1995,S,256.60000000000002,52.240000000000002
1013115,FSB121C,436176.21,3681346.43,203.67000000000002,1995-02-16,1995,S,256.60000000000002,52.93
