STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
28661811,FSB127D,437035.989,3681484.472,33.27228119,-81.67608171,2007-01-26 00:00:00,2007-01-24 00:00:00,2007-01-26 00:00:00,2007,CESIUM-137,-1.39,pCi/L,19.1,pCi/L,30660975,30631115,211.09999999999999,214.13,185.13999999999999,180.13
28661820,FSB137D,436454.876,3680970.429,33.26761063,-81.68228502,2007-01-28 00:00:00,2007-01-24 00:00:00,2007-01-28 00:00:00,2007,CESIUM-137,3.25,pCi/L,24.5,pCi/L,30660999,30631124,200.61000000000001,203.28,188.28,183.28
1013091,FSB109D,436561.94,3681891.12,33.2759212146,-81.6812000302,2007-01-28 00:00:00,2007-01-23 00:00:00,2007-01-28 00:00:00,2007,CESIUM-137,-0.726,pCi/L,18.9,pCi/L,30661109,30631097,290.80000000000001,293.30000000000001,228.30000000000001,208.30000000000001
1013091,FSB109D,436561.94,3681891.12,33.2759212146,-81.6812000302,2007-01-28 00:00:00,2007-01-23 00:00:00,2007-01-28 00:00:00,2007,CESIUM-137,0.446,pCi/L,19.9,pCi/L,30661111,30631097,290.80000000000001,293.30000000000001,228.30000000000001,208.30000000000001
1013065,FSB 95DR,436595.57,3681589.89,33.2732062144,-81.6808178449,2007-02-01 00:00:00,2007-01-25 00:00:00,2007-02-01 00:00:00,2007,CESIUM-137,113,pCi/L,46.5,pCi/L,30668551,30631081,282,284.39999999999998,209.39999999999998,189.39999999999998
1015609,FSL  8D,436778.78,3682123.89,33.2780334473,-81.678887987,2007-02-02 00:00:00,2007-01-25 00:00:00,2007-02-02 00:00:00,2007,CESIUM-137,0.514,pCi/L,21.6,pCi/L,30668573,30631128,288.80000000000001,290.80000000000001,224.80000000000001,204.70000000000002
29191793,FSB125DR,436766.8,3681484,33.27226118,-81.67897195,2007-02-02 00:00:00,2007-01-25 00:00:00,2007-02-02 00:00:00,2007,CESIUM-137,-2.71,pCi/L,23.2,pCi/L,30668561,30631126,240.75,243.97999999999999,188.97999999999999,178.97999999999999
1013061,FSB 94DR,436658.67,3681589.61,33.2732073975,-81.6801403179,2007-02-01 00:00:00,2007-01-25 00:00:00,2007-02-01 00:00:00,2007,CESIUM-137,38,pCi/L,31.6,pCi/L,30668555,30631079,278.39999999999998,281.26999999999998,206.26999999999998,186.16999999999999
1013082,FSB104D,436615.14,3681179.56,33.2695063444,-81.6805790096,2007-02-02 00:00:00,2007-01-25 00:00:00,2007-02-02 00:00:00,2007,CESIUM-137,2.74,pCi/L,21.9,pCi/L,30668557,30631095,216.90000000000001,219.40000000000001,212.90000000000001,192.90000000000001
28079297,FSB112DR,436442.132,3681193.707,33.26962376,-81.68243752,2007-02-01 00:00:00,2007-01-25 00:00:00,2007-02-01 00:00:00,2007,CESIUM-137,2.3,pCi/L,23.8,pCi/L,30668603,30631111,226.65000000000001,230.03999999999999,180,169.99000000000001
28661819,FSB136D,436420.123,3681045.886,33.26828918,-81.68266344,2006-08-19 00:00:00,2006-08-09 00:00:00,2006-08-19 00:00:00,2006,CESIUM-137,-0.568,pCi/L,20.1,pCi/L,30358920,30281837,215.09999999999999,217.99000000000001,201.81999999999999,191.81999999999999
28661818,FSB135D,436407.977,3681079.14,33.2685884,-81.68279619,2006-08-22 00:00:00,2006-08-09 00:00:00,2006-08-22 00:00:00,2006,CESIUM-137,-2.3,pCi/L,17.9,pCi/L,30358942,30281836,219.12,222.11000000000001,189.05000000000001,179.06
28661818,FSB135D,436407.977,3681079.14,33.2685884,-81.68279619,2006-08-22 00:00:00,2006-08-09 00:00:00,2006-08-22 00:00:00,2006,CESIUM-137,-1.24,pCi/L,17.8,pCi/L,30358944,30281836,219.12,222.11000000000001,189.05000000000001,179.06
1016747,FPZ  7A,436967.8166081,3681207.44099727,33.2697784921,-81.6767944033,2006-09-22 00:00:00,2006-09-18 00:00:00,2006-09-22 00:00:00,2006,CESIUM-137,-0.0586,pCi/L,18.4,pCi/L,30467054,30311595,194.5,196.16,188.41,185.91
1016748,FPZ  7B,436967.8166081,3681207.44099727,33.2697784921,-81.6767944033,2006-09-21 00:00:00,2006-09-18 00:00:00,2006-09-21 00:00:00,2006,CESIUM-137,0.356,pCi/L,18.7,pCi/L,30467052,30311596,194.52000000000001,196.40000000000001,196,191.02000000000001
1016748,FPZ  7B,436967.8166081,3681207.44099727,33.2697784921,-81.6767944033,2006-09-21 00:00:00,2006-09-18 00:00:00,2006-09-21 00:00:00,2006,CESIUM-137,-2.29,pCi/L,17.5,pCi/L,30467050,30311596,194.52000000000001,196.40000000000001,196,191.02000000000001
6163078,FM-A7U,436076.9,3680389,33.26234403,-81.6863021,2006-09-20 00:00:00,2006-09-11 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,6.44,pCi/L,19.7,pCi/L,30445087,30313991,,,,
6163068,FM-2BD,437272,3681341,33.27100088,-81.67353774,2006-09-21 00:00:00,2006-09-12 00:00:00,2006-09-21 00:00:00,2006,CESIUM-137,1.48,pCi/L,18.7,pCi/L,30445085,30313987,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2006-09-21 00:00:00,2006-09-11 00:00:00,2006-09-21 00:00:00,2006,CESIUM-137,1.87,pCi/L,18.2,pCi/L,30445093,30313982,,,,
28528971,FSP 47A,436993.762,3681360.76,33.27116289,-81.6765265,2006-09-14 00:00:00,2006-09-07 00:00:00,2006-09-14 00:00:00,2006,CESIUM-137,-2.28,pCi/L,19.2,pCi/L,30445019,30311587,198.30000000000001,200.68000000000001,189.18000000000001,186.69
28528971,FSP 47A,436993.762,3681360.76,33.27116289,-81.6765265,2006-09-14 00:00:00,2006-09-07 00:00:00,2006-09-14 00:00:00,2006,CESIUM-137,-2.59,pCi/L,19.2,pCi/L,30445017,30311587,198.30000000000001,200.68000000000001,189.18000000000001,186.69
24790142,FSP249A,436418.964,3680751.569,33.26563448,-81.68265524,2006-09-20 00:00:00,2006-09-12 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,2.79,pCi/L,19.5,pCi/L,30445045,30311597,185.5,188.24000000000001,175.74000000000001,173.24000000000001
24790142,FSP249A,436418.964,3680751.569,33.26563448,-81.68265524,2006-09-20 00:00:00,2006-09-12 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,1.04,pCi/L,18.5,pCi/L,30445043,30311597,185.5,188.24000000000001,175.74000000000001,173.24000000000001
1016746,FPZ  6B,436872.77744615,3681120.54362076,33.2689891509,-81.6778087487,2006-09-21 00:00:00,2006-09-12 00:00:00,2006-09-21 00:00:00,2006,CESIUM-137,1.03,pCi/L,17.9,pCi/L,30445035,30311594,189.40000000000001,191.59999999999999,189.31999999999999,184.31999999999999
28677656,FSP-12A,436755.266,3681184.762,33.26956149,-81.6790749,2006-09-14 00:00:00,2006-09-07 00:00:00,2006-09-14 00:00:00,2006,CESIUM-137,1.13,pCi/L,16.8,pCi/L,30445021,30311588,200.69999999999999,203.37,191.45000000000002,188.94
28679102,FSP204A,436612.996,3680960.787,33.26753297,-81.68058672,2006-09-20 00:00:00,2006-09-11 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,-3.72,pCi/L,19.1,pCi/L,30445029,30311590,190.5,192.91999999999999,180.69,178.19999999999999
28679102,FSP204A,436612.996,3680960.787,33.26753297,-81.68058672,2006-09-20 00:00:00,2006-09-11 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,-4.56,pCi/L,18.8,pCi/L,30445027,30311590,190.5,192.91999999999999,180.69,178.19999999999999
1016745,FPZ  6A,436872.77744615,3681120.54362076,33.2689891509,-81.6778087487,2006-09-20 00:00:00,2006-09-12 00:00:00,2006-09-20 00:00:00,2006,CESIUM-137,-2.74,pCi/L,18.6,pCi/L,30445033,30311593,189.40000000000001,191.53999999999999,180.16,177.66
28661812,FSB128D,436212.504,3681134.69,33.26907789,-81.68489879,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,-2.27,pCi/L,11.9,pCi/L,29792381,29726922,246.40000000000001,249.19,194.12,184.12
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,2006-02-27 00:00:00,2006-01-30 00:00:00,2006-02-27 00:00:00,2006,CESIUM-137,2.17,pCi/L,11.9,pCi/L,29792415,29726890,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,17.1,pCi/L,24.1,pCi/L,29792360,29726888,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013111,FSB119D,436814.81,3681601.74,33.2733259665,-81.6784646816,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,0.449,pCi/L,11.9,pCi/L,29792339,29726904,252.09999999999999,254.30000000000001,215.30000000000001,195.30000000000001
