STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013065,FSB 95DR,436595.57,3681589.89,33.2732062144,-81.6808178449,1993-10-27 00:00:00,1993-08-05 00:00:00,1993-10-27 00:00:00,1993,IODINE-129,206,pCi/L,2,pCi/L,23582834,15255966,282,284.39999999999998,209.39999999999998,189.39999999999998
1013056,FSB 92D,436724.22,3681703.93,33.2742423689,-81.6794444909,1993-10-27 00:00:00,1993-08-05 00:00:00,1993-10-27 00:00:00,1993,IODINE-129,94.5,pCi/L,2,pCi/L,23582837,15255964,273.69999999999999,276.39999999999998,224.39999999999998,204.39999999999998
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-09-15 00:00:00,1993-09-06 00:00:00,1993-09-15 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582915,15279934,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013048,FSB 88D,436859.74,3682019.67,33.2770981678,-81.6780114013,1993-12-08 00:00:00,1993-11-07 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,226,pCi/L,2,pCi/L,23582614,15282848,280.10000000000002,282.5,224.5,204.5
1013070,FSB 97D,436555.16,3681634.79,33.2736088181,-81.6812548738,1993-12-08 00:00:00,1993-11-09 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,88.2,pCi/L,2,pCi/L,23582612,15283094,283.89999999999998,286.19999999999999,219.19999999999999,199.19999999999999
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,1993-12-14 00:00:00,1993-11-15 00:00:00,1993-12-14 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582594,15283304,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,1993-12-14 00:00:00,1993-11-15 00:00:00,1993-12-14 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582595,15283304,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1993-12-10 00:00:00,1993-11-12 00:00:00,1993-12-10 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582599,15283192,250.19999999999999,252.40000000000001,220,199.90000000000001
1013082,FSB104D,436615.14,3681179.56,33.2695063444,-81.6805790096,1993-12-08 00:00:00,1993-11-09 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,65.2,pCi/L,2,pCi/L,23582615,15283102,216.90000000000001,219.40000000000001,212.90000000000001,192.90000000000001
1013082,FSB104D,436615.14,3681179.56,33.2695063444,-81.6805790096,1993-12-08 00:00:00,1993-11-09 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,58.9,pCi/L,2,pCi/L,23582616,15283102,216.90000000000001,219.40000000000001,212.90000000000001,192.90000000000001
