UWI,UTM_E,UTM_N,GRD_ELEV_FT,Barnwell_top,TCCZ_top,TCCZ_bottom,TCCZ_th_ft,Santee_top,MFS_top
FCPT82,436910.46,3681351.73,NA,NA,174,162,12,NA,NA
FCPT83,436892.52,3681306.3,NA,NA,172,157,15,NA,NA
FCPT84,436901.13,3681258.14,NA,NA,178,162,16,NA,NA
FCPT85,436843.31,3681353.37,NA,NA,164,150,14,NA,NA
FCPT86,436765.58,3681291.63,NA,NA,180,167,13,NA,NA
FCPT87,436822.71,3681272.68,NA,NA,189,174,15,NA,NA
FCPT88,436415.78,3681120.3,NA,NA,177,155,22,NA,NA
FCPT89,436736.56,3681194.99,NA,NA,180,160,20,NA,NA
FCPT9,436836.512,3681433.186,229.68,NA,171,154,17,NA,NA
FCPT9,436836.512,3681433.186,229.68,NA,171,154,17,NA,NA
FCPT91,436726.35,3681243.15,NA,NA,188,NA,NA,NA,NA
FCPT92,436698.93,3681233.25,NA,NA,184,NA,NA,NA,NA
FCPT93,436704.7,3681258.07,NA,NA,177,NA,NA,NA,NA
FCPT94,436669.82,3681227.7,NA,NA,169,156,13,NA,NA
FCPT95,436648.53,3681205.83,NA,NA,174,158,16,NA,NA
FCPT96,436596.17,3681214.59,NA,NA,186,NA,NA,NA,NA
FCPT99,436583.15,3681067.41,NA,NA,185,NA,NA,NA,NA
FIW1MC,436719.75,3682122.61,293.3,276,190,185.3,4.7,153,NA
FIW2MA,436719.95,3682034.37,290.5,267,189,179.5,9.5,153,118.923
FNB1A,436727.26,3683631.58,282.4,NA,208,202.4,5.6,175,140.16
FNB3A,436612.63,3683699.91,282.2,NA,211,207.2,3.8,169,143.68
FSB100A,436736.1,3681895,283.8,261,185,182.8,2.2,150,115.8
FSB112A,436440,3681189,227,NA,164,144,20,131,102.884
FSB113A,437007.488,3681579.118,221.3,NA,178,171,7,NA,NA
FSB114A,437046.2,3682032,250,NA,178,173,5,147,112.856
FSB115C,436975.8,3680933,205.8,NA,181,173.8,7.2,140,101.829
FSB116C,437162.073,3681148.166,200.5,NA,176,171,5,NA,NA
FSB120A,436295.4,3681577,278,235,181,165,16,139,111.518
FSB121C,436176.21,3681346.43,254.4,NA,173,162,11,NA,NA
FSB122C,436350.93,3680993.49,216,NA,181,173,8,NA,NA
FSB78A,436681.8,3681563,270.5,228,163,160.5,2.5,132.5,100.5
FSB79A,436871.9,3681290,216.1,NA,173,164.1,8.9,134,103.1
FSB87A,436516.4,3681762,285.6,255,176,172.6,3.4,135,111.141
FSB96A,436562.3,3681523,277.7,234,167,153.7,13.3,135.7,103.7
FSB97A,436556.5,3681628,283.8,244.8,163,151.8,11.2,137.8,107.8
FSB98A,436555.2,3681710,280.7,242,172,168.7,3.3,135,107.7
FSB99A,436552.1,3681815,285.3,247,178,173.3,4.7,137,113.329
FSBCPT1,436719.8153,3681887.2,287.399994,NA,180,164,16,NA,NA
FSBCPT2,436613.3881,3681917.22,294.899994,NA,188,176,12,NA,NA
FSBCPT3,436569.3814,3681890.53,290.700012,NA,187,176,11,NA,NA
FSBCPT4,436495.2899,3681841.65,283.899994,NA,179,162,17,NA,NA
FSBCPT5,436726.7939,3681978.63,287.5,NA,194,177,17,NA,NA
FSBPC,436792.711,3681393.638,230.8,NA,161,157,4,NA,NA
HAA1TA,440702.11,3682657.25,290.2,245,208,204.2,3.8,150,112.136
HAA2AA,440105.86,3682612.63,291.4,272,190,185.4,4.6,157,122.568
HAA3AA,439738.12,3682556.97,274.5,247,191,178.5,12.5,155,113
HAA4AA,440021.9,3683047.92,299.2,247,202,193.2,8.8,156,120.454
HAA6AA,440647.78,3683201.44,279.8,259,210,194.8,15.2,153,121.597
HCA4AA,440229.33,3683301.12,308.6,291,234,229.6,4.4,150,118.182
HCH1,439681.2,3683009,284,267,202,187,15,170,129.463
HCH2,439526,3682791,271,231,196,180,16,166,124.317
HCH3,439576,3682632,264,NA,197,195,2,155,123.327
HCH4,439304.1,3682603,270,NA,193,183,10,153,117.786
HCH5,439465.9,3682484,255,NA,192,180,12,158,119.963
HIW2MC,438563.2,3682357,269,254,199,193,6,145,NA
HIW5MC,438454.7,3682403,266.1,NA,184,178.1,5.9,142,NA
HPC1,440498.6,3682699,293.5,239,195,187.5,7.5,148,112.798
HPT1A,439230.6,3683452.72,233.8,NA,172.8,170.8,2,153,121.15
HPT2A,439096.9,3683437,257.8,249,186.8,177.8,9,157,120.755
HSB101C,439252.9,3682397,256.3,NA,195,189.3,5.7,NA,NA
HSB103C,439256.6,3682245,245.2,NA,195,181.2,13.8,NA,NA
HSB117A,438275.1,3681961,234.8,NA,NA,NA,NA,138,120.359
HSB118A,438431.3,3682061,245,NA,183,173,10,147,115.213
HSB119A,438442.5,3682214,254.8,NA,213,194.8,18.2,142,113.251
HSB120A,438467.5,3682350,266,NA,203,196,7,140,110
HSB121A,438949.8,3682184,272.3,NA,197,184.3,12.7,148,110.519
HSB122A,439007.3,3682291,269.4,NA,188,177.4,10.6,150,109.191
HSB123A,439100.9,3682357,263.6,NA,196,185.6,10.4,156.6,112.6
HSB124A,439195.4,3682430,263.9,NA,201.9,197.9,4,153.9,116
HSB139A,439104,3681959,231.5,NA,190,178.5,11.5,160,114.653
HSB140A,439093,3681544,234,NA,194,181,13,143,111
HSB141A,439533.6,3682303,252.6,NA,181,166.6,14.4,149,119.422
HSB144A,438680.1,3681938,233.6,NA,186,178.6,7.4,141,106.386
HSB146A,439488.8,3681994,249.5,NA,174,162.5,11.5,148,120.036
HSB69A,438806.5,3681901,234.1,NA,187,181.1,5.9,148,112.881
HSB83A,439316.6,3682310,234.9,NA,195,187.9,7.1,142,108.9
HSB84A,438773.8,3681891,226.7,NA,205,180.7,24.3,145,111.7
HSB85A,439014.9,3682899,292.1,274,204,200.1,3.9,162,120.1
