X	Y	Ztccz
4.3636750e+05	3.6809315e+06	1.6960832e+02
4.3637250e+05	3.6809315e+06	1.6910253e+02
4.3637750e+05	3.6809315e+06	1.6859379e+02
4.3638250e+05	3.6809315e+06	1.6808453e+02
4.3638750e+05	3.6809315e+06	1.6759074e+02
4.3639250e+05	3.6809315e+06	1.6709675e+02
4.3639750e+05	3.6809315e+06	1.6661435e+02
4.3640250e+05	3.6809315e+06	1.6614874e+02
4.3640750e+05	3.6809315e+06	1.6570634e+02
4.3641250e+05	3.6809315e+06	1.6529465e+02
4.3641750e+05	3.6809315e+06	1.6492178e+02
4.3642250e+05	3.6809315e+06	1.6459522e+02
4.3642750e+05	3.6809315e+06	1.6431990e+02
4.3643250e+05	3.6809315e+06	1.6409679e+02
4.3643750e+05	3.6809315e+06	1.6392272e+02
4.3644250e+05	3.6809315e+06	1.6379176e+02
4.3644750e+05	3.6809315e+06	1.6369715e+02
4.3645250e+05	3.6809315e+06	1.6364530e+02
4.3645750e+05	3.6809315e+06	1.6366068e+02
4.3646250e+05	3.6809315e+06	1.6365987e+02
4.3646750e+05	3.6809315e+06	1.6367848e+02
4.3647250e+05	3.6809315e+06	1.6371407e+02
4.3647750e+05	3.6809315e+06	1.6375448e+02
4.3648250e+05	3.6809315e+06	1.6381626e+02
4.3648750e+05	3.6809315e+06	1.6389020e+02
4.3649250e+05	3.6809315e+06	1.6397529e+02
4.3649750e+05	3.6809315e+06	1.6407067e+02
4.3650250e+05	3.6809315e+06	1.6417171e+02
4.3650750e+05	3.6809315e+06	1.6428418e+02
4.3651250e+05	3.6809315e+06	1.6440465e+02
4.3651750e+05	3.6809315e+06	1.6453254e+02
4.3652250e+05	3.6809315e+06	1.6466723e+02
4.3652750e+05	3.6809315e+06	1.6480819e+02
4.3653250e+05	3.6809315e+06	1.6496378e+02
4.3653750e+05	3.6809315e+06	1.6511436e+02
4.3654250e+05	3.6809315e+06	1.6526973e+02
4.3654750e+05	3.6809315e+06	1.6542938e+02
4.3655250e+05	3.6809315e+06	1.6554086e+02
4.3655750e+05	3.6809315e+06	1.6570176e+02
4.3656250e+05	3.6809315e+06	1.6586557e+02
4.3656750e+05	3.6809315e+06	1.6603197e+02
4.3657250e+05	3.6809315e+06	1.6620065e+02
4.3657750e+05	3.6809315e+06	1.6636152e+02
