STATION_SEQ|SITE_ID|STATION_ID|STATION_TYPE|STATION_STATUS_CODE|GRID_PLANE|COORDINATE_STATUS_CODE|NORTHING|EASTING|PLANIMETRIC_UNITS|LONGITUDE|LATITUDE|GROUND_ELEVATION|REFERENCE_ELEVATION|ELEVATION_UNITS|REFERENCE_ELEVATION_CODE|TOP_DEPTH|BOTTOM_DEPTH|DEPTH_UNITS|INSTALLATION_DATE|ISINDOMAIN|ISINDOMAIN2|ISINDOMAIN3|AQUIFER|TOP_ELEV|BOTTOM_ELEV
1014409|103|S   15|MONITORING WELL|ABANDONED|UTM||3682391.28|437494.9|m|-81.6712169993|33.280486963|264.5|267.19999999999999|ft|C|0|0|ft|||False|True|D|267.19999999999999|267.19999999999999
1014410|103|S   16|MONITORING WELL|ABANDONED|UTM||3682273.62765006|437415.08952135|m|-81.6720658687|33.2794211525|259.30000000000001|261.80000000000001|ft|C|0|0|ft|||False|True|D|261.80000000000001|261.80000000000001
1014555|281|SSS 29|MONITORING WELL|ABANDONED|UTM||3682219.13|437476.28|m|-81.6714050532|33.2789331549|||ft||0|0|ft|||False|True|D||
1014631|19|Z   17|PIEZOMETER WELL|ACTIVE|UTM|L|3679805.62|435558.35|m|-81.691827613|33.2570513092|176.19999999999999|178.80000000000001|ft|C|27.5|28|ft|1952-04-01||True|True|D|151.30000000000001|150.80000000000001
1014632|19|Z   18|PIEZOMETER WELL|ACTIVE|UTM|L|3680002.47|435406.12|m|-81.6934758352|33.2588177172|198.90000000000001|202.09999999999999|ft|C|38.5|39|ft|1952-04-03||True|True|D|163.59999999999999|163.09999999999999
1014633|19|Z   19|PIEZOMETER WELL|ABANDONED|UTM|L|3680393.57|435089.72|m|-81.6969004773|33.2623262943|274|274|ft|G|0|0|ft|1976-06-23||True|True|D|274|274
1014634|19|Z   19A|PIEZOMETER WELL|INACTIVE|UTM|L|3680392.32|435093.12|m|-81.6968638865|33.2623152243|260.10000000000002|262|ft|C|0|0|ft|1978-01-01||True|True|D|262|262
1014635|19|Z   20|PIEZOMETER WELL|ABANDONED|UTM|L|3680240.41|435213.42|m|-81.6955615255|33.260952288|239.40000000000001|241.40000000000001|ft|C|46|66|ft|1976-06-24||True|True|D|195.40000000000001|175.40000000000001
1014636|19|Z   20A|PIEZOMETER WELL|ABANDONED|UTM|L|3680240.37|435212.17|m|-81.695574942|33.2609518521|241|243.80000000000001|ft|C|136.19999999999999|136.69999999999999|ft|1952-05-09||True|True|D|107.60000000000002|107.10000000000002
1014637|19|Z   20B|PIEZOMETER WELL|INACTIVE|UTM|L|3680241.22|435212.31|m|-81.6955734998|33.2609595272|241.09999999999999|243.59999999999999|ft|C|45.5|65.5|ft|1976-06-24||True|True|D|198.09999999999999|178.09999999999999
1014643|19|ZW   1|MONITORING WELL|ABANDONED|UTM|L|3683089.238|435761.923|m|-81.6898751058|33.286680375|275.10000000000002|276.60000000000002|ft|C|77|87|ft|1951-08-24||False|True|D|199.60000000000002|189.60000000000002
1014644|19|ZW   1A|MONITORING WELL|ABANDONED|UTM|L|3683088.15|435760.68|m|-81.6898883768|33.2866704876|275.10000000000002|276.69999999999999|ft|S|0|0|ft|1985-01-01||False|True|A|276.69999999999999|276.69999999999999
1014649|19|ZW   6|MONITORING WELL|ACTIVE|UTM|L|3682244.08|436886.26|m|-81.6777422825|33.2791238124|266.89999999999998|268.10000000000002|ft|S|39.700000000000003|50.200000000000003|ft|1951-09-07||True|True|D|228.40000000000003|217.90000000000003
1014556|281|SSS 30|MONITORING WELL|ABANDONED|UTM|L|3682240.91|437207.15|m|-81.6742964169|33.2791139594|||ft||0|0|ft|||True|True|D||
1014557|296|SSS 31|MONITORING WELL|ABANDONED|UTM||3682738|435942|m|-81.68791646|33.28352307|||ft||0|0|ft|||False|True|D||
1014558|296|SSS 32|MONITORING WELL|ABANDONED|UTM||3682722|435868|m|-81.68870996|33.28337436|||ft||0|0|ft|||False|True|D||
1014559|296|SSS 33|MONITORING WELL|ABANDONED|UTM||3682751|435752|m|-81.68995766|33.28362902|||ft||0|0|ft|||False|True|D||
1014623|19|Z    9|PIEZOMETER WELL|ACTIVE|UTM|L|3682367.99|436245.68|m|-81.6846294033|33.2802037372|277.39999999999998|279.5|ft|S|49.899999999999999|69.900000000000006|ft|1976-06-25||True|True|D|229.59999999999999|209.59999999999999
1014615|19|Z    1|PIEZOMETER WELL|ABANDONED|UTM|L|3682424.48|437105.86|m|-81.6753967971|33.2807637857|279.69999999999999|281.19999999999999|ft|C|61.600000000000001|62.100000000000001|ft|1951-05-24||False|True|D|219.59999999999999|219.09999999999999
1014616|19|Z    2|PIEZOMETER WELL|ABANDONED|UTM|L|3682110.31|437417.36|m|-81.6720302016|33.2779482204|255.5|257.30000000000001|ft|C|41|41.5|ft|1951-05-25||True|True|D|216.30000000000001|215.80000000000001
1014617|19|Z    3|PIEZOMETER WELL|ACTIVE|UTM|L|3681852.09|436906.84|m|-81.6774939891|33.2755894176|259.10000000000002|261|ft|C|52|52.5|ft|1951-05-28||True|True|D|209|208.5
1014618|19|Z    4|PIEZOMETER WELL|ABANDONED|UTM|L|3682929.80277051|436133.13964689|m|-81.6858774811|33.2852643978|278|278|ft|G|64.5|65|ft|1976-04-23||False|True|D|213.5|213
1014619|19|Z    5|PIEZOMETER WELL|ABANDONED|UTM|L|3682700.62|436488.79|m|-81.6820422468|33.2832182781|259.30000000000001|259.30000000000001|ft|G|75.799999999999997|95.799999999999997|ft|1976-05-05||False|True|D|183.5|163.5
1014620|19|Z    6|PIEZOMETER WELL|ABANDONED|UTM|L|3682517.41|437048.43|m|-81.6760199403|33.2815986261|283.80000000000001|285.60000000000002|ft|C|62|62.5|ft|1951-04-01||False|True|D|223.60000000000002|223.10000000000002
1014621|19|Z    7|PIEZOMETER WELL|ACTIVE|UTM|L|3682538.08|436719.05|m|-81.6795582922|33.2817657748|289.10000000000002|291|ft|C|64.700000000000003|84.700000000000003|ft|1976-05-07||False|True|D|226.30000000000001|206.30000000000001
1014622|19|Z    8|PIEZOMETER WELL|ACTIVE|UTM|L|3682281.01|436691.32|m|-81.6798380854|33.279445476|277.5|280|ft|C|63.399999999999999|63.899999999999999|ft|1951-06-07||True|True|D|216.59999999999999|216.09999999999999
1014711|19|FSB 98AR|MONITORING WELL|ACTIVE|UTM||3681700.8|436556.21|m|-81.6812482235|33.2742042647|282.10000000000002|284.19999999999999|ft|S|190|200|ft|1991-10-07||True|True|A|94.199999999999989|84.199999999999989
28079297|19|FSB112DR|MONITORING WELL|ACTIVE|UTM|P|3681193.707|436442.132|m|-81.68243752|33.26962376|226.65000000000001|230.03999999999999|ft|S|50.039999999999999|60.049999999999997|ft|2003-09-30||True|True|D|180|169.99000000000001
24790143|2050|FSP249B|PIEZOMETER WELL|ACTIVE ECO-SENSITIVE|UTM|U|3680752.661|436418.523|m|-81.68266005|33.2656443|185.69999999999999|187.88999999999999|ft|C|3|8|ft|2002-01-23||True|True|D|184.88999999999999|179.88999999999999
26209576|19|FEX-2R|EXTRACTION WELL|ABANDONED|UTM||3681277.241|436838.271|m|-81.67819015|33.27040048|218.31|221.99000000000001|ft|S|35.399999999999999|45.399999999999999|ft|2002-07-16||True|True|D|186.59|176.59
