STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1993-08-28 00:00:00|1993-08-22 00:00:00|1993-08-28 00:00:00|1993|8|28|3|IODINE-129|2|pCi/L|2|pCi/L|23582970|15257168|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013094|FSB111C|436902.34|3681960.79|33.2765695868|-81.6775498803|1993-08-31 00:00:00|1993-08-20 00:00:00|1993-08-31 00:00:00|1993|8|31|3|IODINE-129|2|pCi/L|2|pCi/L|23582992|15257054|274|276.5|171.5|161.5
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|1993-08-27 00:00:00|1993-08-21 00:00:00|1993-08-27 00:00:00|1993|8|27|3|IODINE-129|2|pCi/L|2|pCi/L|23582983|15257108|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013079|FSB102C|437054.85|3681393.25|33.2714595041|-81.6758728684|1993-09-05 00:00:00|1993-08-21 00:00:00|1993-09-05 00:00:00|1993|9|5|3|IODINE-129|92.7|pCi/L|2|pCi/L|23582930|15257156|198.90000000000001|201.30000000000001|158.30000000000001|148.30000000000001
1013083|FSB105C|436510.69|3681619.5|33.2734682906|-81.6817312804|1993-09-03 00:00:00|1993-08-22 00:00:00|1993-09-03 00:00:00|1993|9|3|3|IODINE-129|57.9|pCi/L|2|pCi/L|23582917|15257202|283.5|286.19|154.19|144.19
1013045|FSB 87C|436511.93|3681755.21|33.2746924154|-81.681727479|1993-10-20 00:00:00|1993-08-03 00:00:00|1993-10-20 00:00:00|1993|10|20|4|IODINE-129|2|pCi/L|2|pCi/L|23582848|15255880|285.64999999999998|287.97000000000003|161.97000000000003|151.47000000000003
1013072|FSB 98C|436555.41|3681707.45|33.274264198|-81.6812572791|1993-09-02 00:00:00|1993-08-20 00:00:00|1993-09-02 00:00:00|1993|9|2|3|IODINE-129|104|pCi/L|2|pCi/L|23582962|15257050|282.39999999999998|284.60000000000002|160.60000000000002|150.60000000000002
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|1993-06-03 00:00:00|1993-05-04 00:00:00|1993-06-03 00:00:00|1993|6|3|2|IODINE-129|2|pCi/L|2|pCi/L|23565573|15252978|279.10000000000002|281.5|168.5|158.5
1013079|FSB102C|437054.85|3681393.25|33.2714595041|-81.6758728684|1993-03-29 00:00:00|1993-02-21 00:00:00|1993-03-29 00:00:00|1993|3|29|1|IODINE-129|34.3|pCi/L|2|pCi/L|23565833|15247034|198.90000000000001|201.30000000000001|158.30000000000001|148.30000000000001
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|1993-07-20 00:00:00|1993-07-07 00:00:00|1993-07-20 00:00:00|1993|7|20|3|IODINE-129|2|pCi/L|2|pCi/L|23575933|15254628|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
