"","STATION_ID","EASTING","NORTHING","SurfaceElevation","TCCZ_top","TCCZ_bot","TCCZ_th_ft"
"31","BGO5C",438496.746385081,3683533.6126317,294.2,218,201,17
"32","BGO6A",438377.217331727,3683450.48345053,283.8,210,195,15
"33","BGO6B",438372.680995041,3683472.07151245,284.5,203,192,11
"34","BGO8A",438190.471685473,3683345.37207235,281.3,213,199,14
"35","BGO9AA",438056.847934895,3683401.38092544,282.8,224,211,13
"36","BGT1",438551.203924688,3683657.56691947,282.9,222,208,14
"37","BGT10",438201.089112513,3684308.76153216,215.2,201,194,7
"38","BGT11",438165.113637892,3684456.81273915,222.5,NA,NA,NA
"39","BGT12",438166.297573686,3683599.96966424,284.2,225,214,11
"40","BGT13",438137.766027076,3683653.71268674,287.8,224,216,8
"41","BGT14",438066.07532957,3683788.1272106,280.7,215,209,6
"42","BGT15",437994.366698826,3683922.56636966,277.5,209,201,8
"43","BGT16",437923.032124253,3684057.16475392,250.7,NA,NA,NA
"44","BGT17",437850.537342307,3684191.18239277,240.7,NA,NA,NA
"45","BGT18",437778.042560361,3684325.20003163,216.5,NA,NA,NA
"46","BGT2",438610.750861045,3683797.77671186,276.4,213,198,15
"47","BGT20",437633.09556482,3684593.22860728,159.5,NA,NA,NA
"48","BGT21",437898.820249754,3683401.30201894,294.2,223,216,7
"49","BGT22",437799.264247717,3683547.27979527,281,231,216,15
"50","BGT23",437730.629819167,3683655.38801451,270,216,210,6
"51","BGT24",437646.522286317,3683782.42204573,265.8,227,220,7
"52","BGT25",437562.414753467,3683909.45607694,264.8,229,224,5
"53","BGT27",437394.224322879,3684163.54207251,256.9,217,207,10
"54","BGT28",437310.11679003,3684290.57610372,258.3,216,194,22
"55","BGT29",437226.033892292,3684417.62806808,243,219,215,4
"56","BGT3",438675.785324076,3683935.57389935,275.7,212,198,14
"57","BGT30",437150.33307313,3684531.9746004,219,NA,NA,NA
"58","BGT31",437720.192797817,3683251.77320259,308.76,220,215,5
"59","BGT32",437602.417085278,3683378.0203777,310.12,237,234,3
"60","BGT33",437471.801115487,3683513.99524888,290.42,239,223,16
"61","BGT34",437397.77046698,3683610.6599578,286.76,228,218,10
"62","BGT35",437283.725939686,3683716.81343313,267.73,217,212,5
"63","BGT36",437179.383698551,3683827.83238097,261.36,226,215,11
"64","BGT37",437075.027346536,3683938.84482575,251.6,222,215,7
"65","BGT4",438740.795151996,3684073.35315371,259.2,213,204,9
"66","BGT40",437573.623259649,3683170.7746987,332.32,209,203,6
"67","BGT41",437457.135429022,3683250.90754352,328.37,224,219,5
"68","BGT42",437322.792915016,3683343.78891107,310.92,224,219,5
"69","BGT43",436946.547062973,3683603.30810121,277.08,205,201,4
"70","BGT44",436821.131555563,3683689.81307898,276.2,214,209,5
"71","BGT45",436732.322534951,3683751.07455916,285.28,218,209,9
"72","BGT46",437606.838346838,3682975.27911104,310,213,205,8
"73","BGT47",437455.551410447,3682992.37136966,317.32,214,210,4
"74","BGT48",437417.971016028,3682996.63261128,314.33,217,209,8
"75","BGT49",437597.695749094,3682776.25543069,297.26,222,214,8
"76","BGT5",438806.051331034,3684211.31173947,225.7,214,206,8
"77","BGT50",437522.996148224,3682780.44764876,296.27,221,214,7
"78","BGT51",437611.820621473,3682528.70604263,272.64,193,186,7
"79","BGT53",437287.867698823,3682412.68869096,278.25,200,191,9
"80","BGT54",437137.940205587,3682342.73868152,279.96,205,196,9
"81","BGT56",438403.836484101,3682351.99890152,262.94,182,175,7
"82","BGT57",438409.366062143,3682260.77093477,259.35,179,169,10
"83","BGT58",438703.661639083,3682527.16231891,285.76,192,190,2
"84","BGT59",438743.94075161,3682328.72454673,281.88,182,173,9
"85","BGT6",438345.468137109,3683716.67789,282.2,218,NA,NA
"86","BGT60",438917.004544906,3682574.57101564,291.42,186,176,10
"87","BGT61",439061.097916495,3682600.74509724,284.3,184,178,6
"88","BGT62",439100.679827196,3682607.93617351,282.03,190,176,14
"89","BGT63",439149.659197425,3682818.85922309,293.67,195,189,6
"90","BGT63A",438997.84303917,3682831.57866223,290.79,198,194,4
"91","BGT64",439291.591534397,3682806.96522436,283.25,195,188,7
"92","BGT66",439160.744843683,3683263.04429317,244.04,195,188,7
"93","BGT67",439263.583919871,3683325.2837531,242.3,186,174,12
